t,v
0.482785,1.338242433819708
0.856687,1.0122699809038473
1.588601,-0.027060665226083205
2.267617,-0.9135327797968745
2.844657,-1.3806849576725355
3.339805,-1.4925161437647843
3.969056,-0.9927290271108772
4.430842,-0.3113468957445573
4.90252,0.2716328687389108
5.564918,1.1032360759833408
6.359895,1.4314494183453292
6.929996,1.2997774730333422
7.672127,0.2214828962117225
8.060707,-0.2980727319258792
8.266041,-0.5574797678710053
8.840058,-1.1060814984394738
9.363518,-1.441953057093039
10.247217,-1.0606550562373944
10.697484,-0.4165503693910874
11.010053,0.13172135707221946
11.76434,0.9251270042357579
12.625077,1.416943484562856
13.287287,1.1373665943489113
13.818896,0.471892939818724
14.592664,-0.6139231480066201
